Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to YUV422P - bt.601 - NON-SSE - fast resampling                            	 11.526208	 11.493720	  0.041210	         0
BGRA to YUV422P - bt.709 - NON-SSE - fast resampling                            	 11.525225	 11.489380	  0.044450	         0
BGRA to YUV422P - FR - NON-SSE - avg resampling                                 	 14.413031	 14.374110	  0.047300	         0
BGRA to YUV422P - bt.601 - NON-SSE - avg resampling                             	 14.391570	 14.358150	  0.041980	         0
BGRA to YUV422P - bt.709 - NON-SSE - avg resampling                             	 14.421078	 14.380210	  0.049200	         0

BGRA to YUV420P - FR - SSE2/SSSE3 - fast resampling                             	  1.659417	  1.644010	  0.024810	         0
BGRA to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.708237	  1.693290	  0.024300	         0
BGRA to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.745460	  1.730770	  0.024110	         0
BGRA to YUV420P - FR - SSE2 - fast resampling                                   	  1.679330	  1.664470	  0.024380	         0
BGRA to YUV420P - bt.601 - SSE2 - fast resampling                               	  1.723692	  1.709320	  0.023980	         0
BGRA to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.722793	  1.707660	  0.024520	         0
BGRA to YUV420P - FR - NON-SSE - fast resampling                                	 10.195001	 10.163240	  0.040360	         0
BGRA to YUV420P - bt.601 - NON-SSE - fast resampling                            	 10.891539	 10.857280	  0.042980	         0
BGRA to YUV420P - bt.709 - NON-SSE - fast resampling                            	 10.893885	 10.861440	  0.041010	         0

BGRA to v210 - Fr - SSE2/SSSE3/SSE41 - fast resampling                          	  2.901982	  2.883580	  0.028070	         0
BGRA to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.993239	  2.974570	  0.028240	         0
BGRA to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.970373	  2.951520	  0.028510	         0
BGRA to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.658932	  3.638380	  0.029920	         0
BGRA to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.805460	  3.784280	  0.030680	         0
BGRA to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.803140	  3.782020	  0.030830	         0
BGRA to v210 - FR - SSE2/SSSE3 - fast resampling                                	  3.107337	  3.089450	  0.027470	         0
BGRA to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  3.211696	  3.192870	  0.028500	         0
BGRA to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  3.213535	  3.195130	  0.028110	         0
BGRA to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.788310	  3.768340	  0.029720	         0
BGRA to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.862890	  3.842770	  0.029710	         0
BGRA to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.862324	  3.841520	  0.030210	         0
BGRA to v210 - FR - NON-SSE - fast resampling                                   	  9.714598	  9.683570	  0.040280	         0
BGRA to v210 - bt.601 - NON-SSE - fast resampling                               	  9.824724	  9.795610	  0.038280	         0
BGRA to v210 - bt.709 - NON-SSE - fast resampling                               	  9.829125	  9.798470	  0.039770	         0
BGRA to v210 - FR - NON-SSE - avg resampling                                    	 13.876549	 13.839090	  0.046230	         0
BGRA to v210 - bt.601 - NON-SSE - avg resampling                                	 14.173248	 14.136620	  0.045550	         0
BGRA to v210 - bt.709 - NON-SSE - avg resampling                                	 14.172478	 14.129350	  0.051990	         0

RGB24 to YUYV - FR - SSE2/SSSE3 - fast resampling                               	  1.696906	  1.681810	  0.024470	         0
RGB24 to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.721354	  1.706760	  0.024210	         0
RGB24 to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.718434	  1.704460	  0.023680	         0
RGB24 to YUYV - FR - SSE2/SSSE3 - avg resampling                                	  2.323816	  2.307240	  0.026060	         0
RGB24 to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.429020	  2.413240	  0.025250	         0
RGB24 to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.448030	  2.432300	  0.025350	         0
RGB24 to YUYV - FR - SSE2 - fast resampling                                     	  4.058525	  4.041850	  0.025930	         0
RGB24 to YUYV - bt.601 - SSE2 - fast resampling                                 	  4.225751	  4.207800	  0.027550	         0
RGB24 to YUYV - bt.709 - SSE2 - fast resampling                                 	  4.222641	  4.203570	  0.028500	         0
RGB24 to YUYV - FR - SSE2 - avg resampling                                      	  5.077213	  5.056430	  0.029870	         0
RGB24 to YUYV - bt.601 - SSE2 - avg resampling                                  	  4.758669	  4.738390	  0.029570	         0
RGB24 to YUYV - bt.709 - SSE2 - avg resampling                                  	  4.769080	  4.746870	  0.031240	         1
RGB24 to YUYV - FR - NON-SSE - fast resampling                                  	 11.023451	 10.994990	  0.037150	         0
RGB24 to YUYV - bt.601 - NON-SSE - fast resampling                              	 11.042595	 11.012740	  0.038550	         0
RGB24 to YUYV - bt.709 - NON-SSE - fast resampling                              	 11.032574	 10.999420	  0.042000	         0
RGB24 to YUYV - FR - NON-SSE - avg resampling                                   	 13.256321	 13.219210	  0.045540	         0
RGB24 to YUYV - bt.601 - NON-SSE - avg resampling                               	 13.236126	 13.204080	  0.040510	         0
RGB24 to YUYV - bt.709 - NON-SSE - avg resampling                               	 13.258357	 13.223740	  0.043290	         0

RGB24 to UYVY - FR - SSE2/SSSE3 - fast resampling                               	  1.692719	  1.678610	  0.023680	         0
RGB24 to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.721197	  1.706720	  0.023990	         0
RGB24 to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.724733	  1.710690	  0.023530	         0
RGB24 to UYVY - FR - SSE2/SSSE3 - avg resampling                                	  2.326690	  2.309440	  0.026590	         0
RGB24 to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.429932	  2.413730	  0.025610	         0
RGB24 to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.431719	  2.415590	  0.025460	         0
RGB24 to UYVY - FR - SSE2 - fast resampling                                     	  4.078038	  4.057360	  0.029890	         0
RGB24 to UYVY - bt.601 - SSE2 - fast resampling                                 	  4.222738	  4.202210	  0.029560	         0
RGB24 to UYVY - bt.709 - SSE2 - fast resampling                                 	  4.219757	  4.201070	  0.028040	         0
RGB24 to UYVY - FR - SSE2 - avg resampling                                      	  5.085898	  5.066320	  0.028640	         0
