Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.380734	  2.400150	  0.040000	         3
BGRA to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.363991	  2.360150	  0.040000	         1
BGRA to UYVY - FR - SSE2 - fast resampling                                      	  1.853275	  1.880120	  0.000000	         2
BGRA to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.870015	  1.880120	  0.000000	         1
BGRA to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.876133	  1.800110	  0.040000	         1
BGRA to UYVY - FR - SSE2 - avg resampling                                       	  2.341389	  2.400150	  0.000000	         0
BGRA to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.387844	  2.400150	  0.000000	         2
BGRA to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.387966	  2.400150	  0.000000	         0
BGRA to UYVY - FR - NON-SSE - fast resampling                                   	 12.044421	 12.000750	  0.000000	         4
BGRA to UYVY - bt.601 - NON-SSE - fast resampling                               	 12.055637	 11.960740	  0.040000	         2
BGRA to UYVY - bt.709 - NON-SSE - fast resampling                               	 12.038292	 12.080750	  0.000000	         6
BGRA to UYVY - FR - NON-SSE - avg resampling                                    	 13.494237	 13.440840	  0.040000	         1
BGRA to UYVY - bt.601 - NON-SSE - avg resampling                                	 13.519604	 13.520850	  0.040000	         1
BGRA to UYVY - bt.709 - NON-SSE - avg resampling                                	 13.525494	 13.480840	  0.040010	         2

BGRA to YUV422P - FR - SSE2/SSSE3 - fast resampling                             	  1.786029	  1.800110	  0.000000	         1
BGRA to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.829491	  1.800110	  0.040000	         1
BGRA to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.820949	  1.800110	  0.040000	         1
BGRA to YUV422P - FR - SSE2/SSSE3 - avg resampling                              	  2.410782	  2.360150	  0.040000	         1
BGRA to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                          	  2.496862	  2.480150	  0.000000	         1
BGRA to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                          	  2.490208	  2.440150	  0.040000	         0
BGRA to YUV422P - FR - SSE2 - fast resampling                                   	  1.956808	  2.000130	  0.000000	         1
BGRA to YUV422P - bt.601 - SSE2 - fast resampling                               	  2.011736	  1.960120	  0.000000	         2
BGRA to YUV422P - bt.709 - SSE2 - fast resampling                               	  2.040632	  2.040130	  0.000000	         2
BGRA to YUV422P - FR - SSE2 - avg resampling                                    	  2.494578	  2.480150	  0.000000	         2
BGRA to YUV422P - bt.601 - SSE2 - avg resampling                                	  2.443010	  2.440160	  0.000000	         1
BGRA to YUV422P - bt.709 - SSE2 - avg resampling                                	  2.437612	  2.400150	  0.080010	         0
BGRA to YUV422P - FR - NON-SSE - fast resampling                                	 12.574161	 12.560790	  0.000000	         3
BGRA to YUV422P - bt.601 - NON-SSE - fast resampling                            	 12.592379	 12.600780	  0.040000	         5
BGRA to YUV422P - bt.709 - NON-SSE - fast resampling                            	 12.550760	 12.520780	  0.000000	         2
BGRA to YUV422P - FR - NON-SSE - avg resampling                                 	 14.807801	 14.720920	  0.040000	         1
BGRA to YUV422P - bt.601 - NON-SSE - avg resampling                             	 14.724612	 14.680910	  0.000000	         3
BGRA to YUV422P - bt.709 - NON-SSE - avg resampling                             	 14.775224	 14.720920	  0.000000	         7

BGRA to YUV420P - FR - SSE2/SSSE3 - fast resampling                             	  1.582638	  1.600100	  0.000000	         1
BGRA to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.638881	  1.640100	  0.000000	         1
BGRA to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.657252	  1.680100	  0.000000	         2
