Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.116720	  3.040200	  0.040000	         0
BGRA to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.113164	  3.120190	  0.000000	         1
BGRA to v210 - FR - SSE2/SSSE3 - fast resampling                                	  2.628561	  2.680170	  0.000000	         1
BGRA to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  2.687238	  2.640170	  0.000000	         1
BGRA to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  2.676217	  2.720170	  0.000000	         0
BGRA to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.194986	  3.200200	  0.000000	         3
BGRA to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.307400	  3.320210	  0.000000	         1
BGRA to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.298680	  3.240190	  0.040010	         1
BGRA to v210 - FR - NON-SSE - fast resampling                                   	 11.074921	 11.040690	  0.000000	         3
BGRA to v210 - bt.601 - NON-SSE - fast resampling                               	 10.487629	 10.480660	  0.000000	         2
BGRA to v210 - bt.709 - NON-SSE - fast resampling                               	 10.483627	 10.480650	  0.000000	         5
BGRA to v210 - FR - NON-SSE - avg resampling                                    	 14.138648	 14.160880	  0.000000	         6
BGRA to v210 - bt.601 - NON-SSE - avg resampling                                	 14.279810	 14.240890	  0.000000	         6
BGRA to v210 - bt.709 - NON-SSE - avg resampling                                	 14.344218	 14.320900	  0.000000	         4

RGB24 to YUYV - FR - SSE2/SSSE3 - fast resampling                               	  1.522823	  1.480090	  0.040000	         1
RGB24 to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.555088	  1.440090	  0.000000	         1
RGB24 to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.554402	  1.480090	  0.080000	         1
RGB24 to YUYV - FR - SSE2/SSSE3 - avg resampling                                	  1.989880	  2.000130	  0.000000	         3
RGB24 to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.027301	  2.000130	  0.000000	         0
RGB24 to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.025936	  2.040130	  0.000000	         1
RGB24 to YUYV - FR - SSE2 - fast resampling                                     	  3.491676	  3.480220	  0.000000	         1
RGB24 to YUYV - bt.601 - SSE2 - fast resampling                                 	  3.554757	  3.520210	  0.000000	         1
RGB24 to YUYV - bt.709 - SSE2 - fast resampling                                 	  3.558702	  3.560220	  0.000000	         1
RGB24 to YUYV - FR - SSE2 - avg resampling                                      	  4.061822	  4.040250	  0.000000	         2
RGB24 to YUYV - bt.601 - SSE2 - avg resampling                                  	  4.156154	  4.160260	  0.000000	         1
RGB24 to YUYV - bt.709 - SSE2 - avg resampling                                  	  4.153542	  4.160260	  0.000000	         2
RGB24 to YUYV - FR - NON-SSE - fast resampling                                  	 10.229456	 10.200630	  0.040000	         1
RGB24 to YUYV - bt.601 - NON-SSE - fast resampling                              	 10.242207	 10.240640	  0.000000	         5
RGB24 to YUYV - bt.709 - NON-SSE - fast resampling                              	 10.236865	 10.240630	  0.000000	         2
RGB24 to YUYV - FR - NON-SSE - avg resampling                                   	 11.720197	 11.720740	  0.000000	         3
RGB24 to YUYV - bt.601 - NON-SSE - avg resampling                               	 11.734913	 11.720730	  0.000000	         4
RGB24 to YUYV - bt.709 - NON-SSE - avg resampling                               	 11.735076	 11.680730	  0.000000	         2

RGB24 to UYVY - FR - SSE2/SSSE3 - fast resampling                               	  1.488549	  1.480090	  0.000000	         1
RGB24 to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.538163	  1.520090	  0.000000	         2
RGB24 to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.526957	  1.560100	  0.000000	         1
